id,titulo,titulos_alternativos
2582,Armored Trooper Votoms,"['Armored Trooper Votoms', 'Soukou Kihei Votoms', 'Soko Kihei Votoms', '装甲騎兵ボトムズ']"
2596,Ghost Hound,"['Ghost Hound', '神霊狩／GHOST HOUND', 'Shinreigari', 'Shinreigari: Ghost Hound']"
2602,Kenkou Zenrakei Suiei-bu Umishou,"['Kenkou Zenrakei Suiei-bu Umishou', 'Kenkoo Zenra-kei Suiei-bu Umishou', 'Umisho High School Naked Swimming Club', 'ケンコー全裸系水泳部 ウミショー', 'Kenkou Zenra-kei Suiei-bu Umishou', 'Umisho']"
2604,Sky Girls,"['Sky Girls TV', 'スカイガールズ', 'Sky Girls (2007)', 'Sky Girls']"
2605,"Sayonara, Zetsubou-Sensei","['さよなら絶望先生', 'Sayonara, Zetsubou-Sensei', 'Goodbye Teacher Despair', 'Sayonara Zetsubou Sensei', 'Sayonara Zetsubo Sensei', 'SZS']"
2608,Wangan Midnight,"['湾岸ミッドナイト', 'Wangan Midnight']"
2609,Kakyuusei (TV),"['Kakyuusei (TV)', '下級生', 'A Girl in a Lower Grade']"
2688,Zillion,"['Red Photon Zillion', '赤い光弾ジリオン', 'Zillion', 'Akai Koudan Zillion']"
2694,Tree in the Sun,"['A Tree in a Sunny Place', 'Hidamari no Ki', 'Tree in the Sun', '陽だまりの樹']"
2699,Space Pirate Mito,"['Uchu Kaizoku Mito no Daiboken', 'Uchuu Kaizoku Mito no Daibouken', '宇宙海賊ミトの大冒険', ""Space Pirate Mito's Great Adventure"", 'Space Pirate Mito', 'Stellar Buster Mito']"
2704,Steam Detectives,"['Steam Detective', 'Steam Detectives', '快傑蒸気探偵団', 'Kaiketsu Shoki Tanteidan', 'Kaiketsu Jouki Tanteidan']"
2705,Bakusou Kyoudai Let's & Go,"['爆走兄弟レッツ＆ゴー!!', ""Bakusou Kyoudai Let's & Go"", 'The Racing Brothers', ""Bakuso Kyodai Let's & Go""]"
2723,D4 Princess,"['Drill for Princess', 'D4 プリンセス', 'D4 Princess']"
2744,Potemayo,"['Potemayo', 'ぽてまよ']"
2758,Shippuu! Iron Leaguer,"['Hurricane! Iron Leaguer', '疾風！ アイアンリーガー', 'Shippuu! Iron Leaguer']"
2766,Super Doll Licca-chan,"['Super Doll Licca-chan', 'La Princesa Licca★', 'スーパードール リカちゃん']"
2772,Hero Tales,"['獣神演武 - HERO TALES -', 'Juushin Enbu: Hero Tales', 'Jushin Enbu', 'Hero Tales', 'Jyuushin Enbu']"
2795,Dragonaut - The Resonance,"['Dragonaut - The Resonance', 'ドラゴノーツ-ザ・レソナンス-', 'Dragonaut: The Resonance']"
2804,Hana no Mahoutsukai Mary Bell,"['Flower Witch Marybell', 'Hana no Mahoutsukai Mary Bell', '花の魔法使いマリーベル', 'Floral Magician Mary Bell', 'Floral Elf Mary Bell', 'Hana no Mahou Tsukai Maribell']"
2818,Mado King Granzort,"['魔動王グランゾート', 'Madouou Grandzort', 'Mado King Granzort', 'Magic King', 'Madou King Granzort', 'Mado Ou Granzort']"
2823,Barbapapa,"['Barbapapa', 'Barbapapá', 'Barbapappa', 'バーバパパ']"
2828,Nobody's Boy Remi,"[""Rémi the Nobody's Boy"", 'Ie Naki Ko', '家なき子', ""Nobody's Boy Remi"", 'Remi', 'Remi and his Adventures', 'Rémi sans Famille']"
2835,Patalliro!,"['Patalliro!', 'I Pataliro!', 'Boku Pataliro!', 'Boku', 'パタリロ！', 'Patarillo', 'Patariro']"
2836,Vicky the Viking,"['小さなバイキングビッケ', 'Vic Le Viking', 'Wickie el Vikingo', 'Chiisana Viking Vickie', 'Vicky the Viking', 'Vicky the Little Viking', 'Wickie', 'Viking']"
2903,Charge!! Men's Private School,"['Sakigake!! Otokojuku', '魁!!男塾', ""Charge!! Men's Private School"", 'Be A Man! Samurai School']"
2923,Shugo Chara!,"['Shugo Chara!', 'Guardian Character!', 'しゅごキャラ！']"
2924,ef - a tale of memories.,"['ef: A Tale of Memories.', 'ef - A Tale of Memories', 'ef - a tale of memories.']"
2926,Myself; Yourself,"['Myself; Yourself', 'マイセルフ; ユアセルフ']"
2927,KimiKiss: Pure Rouge,"['KimiKiss: Pure Rouge', 'Kimi-kiss pure rouge', 'KimiKiss Pure Rouge', 'キミキス pure rouge']"
2931,Mokke,"['もっけ', 'Mokke']"
2938,Legendary Idol Eriko,"['Idol Densetsu Eriko', 'アイドル伝説えり子', 'Legendary Idol Eriko']"
2963,Minami-ke,"['Minami-ke', 'Minamike', 'The Minami Family', 'みなみけ']"
2964,Blue Drop,"['BLUE DROP ～天使達の戯曲～', 'Blue Drop', 'Blue Drop: Tenshitachi no Gikyoku', 'Blue Drop: Tenshi-tachi no Gikyoku']"
2966,Spice and Wolf,"['狼と香辛料', 'Ookami to Koushinryou', 'Spice and Wolf']"
2970,Night Wizard,"['ナイトウィザード', 'Night Wizard The Animation', 'Night Wizard']"
2985,Neuro: Supernatural Detective,"['Private Evil-Eye Nougami Neuro', '魔人探偵 脳噛ネウロ', 'Neuro: Supernatural Detective', 'Demon Detective Nougami Neuro', 'Majin Tantei Nougami Neuro']"
2986,Bamboo Blade,"['Bamboo Blade', 'バンブーブレード']"
2987,Ginga Hyouryuu Vifam,"['Round Vernian Vifam', '銀河漂流バイファム', 'Space Castaways Vifam', 'Ginga Hyouryuu Vifam', 'Galactic Drifter Vifam']"
2993,Rosario + Vampire,"['Rosario to Vampire', 'ロザリオとバンパイア', 'Rosario and Vampire', 'Rosario + Vampire']"
3001,Moyashimon,"['Moyashimon', 'もやしもん', 'Tales of Agriculture', 'Moyasimon']"
3002,Kaiji: Ultimate Survivor,"['Kaiji: Ultimate Survivor', 'Kaiji', 'The Suffering Pariah Kaiji', '逆境無頼カイジ Ultimate Survivor', 'Gyakkyou Burai Kaiji: Ultimate Survivor', 'Tobaku Mokushiroku Kaiji']"
3009,Tiger Mask,"['タイガーマスク', 'Tiger Mask']"
3010,The Magnificent Zorro,"['Z wie Zorro', 'La Légende de Zorro', 'The Magnificent Zorro', 'Kaiketsu Zorro', 'The Amazing Zorro', 'The Legend of Zorro', '快傑ゾロ']"
3024,Princess Knight,"['Princesse Saphir', 'Ribbon no Kishi', 'リボンの騎士', 'Princess Knight']"
3079,Blue Comet SPT Layzner,"['SPT Layzner', 'Aoki Ryuusei SPT Layzner', 'Blue Comet SPT Layzner', '蒼き流星SPTレイズナー', 'Blue Meteor SPT Layzner', 'Layzner', 'Aoki Ryusei SPT Layzner', 'Layzner Super Powered Tracer']"
3092,Junjo Romantica,"['Junjou Romantica', 'Junjo Romantica', 'Junjyou Romantica', '純情ロマンチカ', 'Junjou Romantica: Pure Romance']"
3146,GR: Giant Robo,"['Giant Robo 40th Anniversary', 'GR -ジャイアントロボ-', 'GR: Giant Robo']"
3193,Monkey Typhoon,"['Association Robot Goku', 'アソボット戦記五九', 'Asobot Senki Gokuu', 'Asobotto Senki Goku', 'Anbot Senki Gokyuu', 'Monkey Typhoon']"
3194,Saban's Adventures of the Little Mermaid,"[""Saban's Adventures of the Little Mermaid"", 'Ningyo-hime Marina no Bouken', '人魚姫 マリーナの冒険', 'La Pequeña Sirenita', 'Ningyohime Marina no Bouken', ""Mermaid Princess: Marina's Adventure""]"
3229,They Are My Noble Masters,"['They Are My Noble Masters', 'Kimi ga Aruji de Shitsuji ga Ore de', 'Kimiaru', '君が主で執事が俺で']"
3230,Tower of Druaga: The Aegis of Uruk,"['The Tower of Druaga: The Aegis of Uruk', 'Tower of Druaga: The Aegis of Uruk', 'ドルアーガの塔 〜the Aegis of URUK〜', 'Druaga no Tou: The Aegis of Uruk']"
3298,Hatenkou Yugi,"['Hatenkou Yugi', '破天荒遊戯', 'Dazzle', 'Hatenkou Yuugi']"
3299,H2O: Footprints in the Sand,"['H2O: Footprints in the Sand', 'H2O ~FOOTPRINTS IN THE SAND~']"
3305,Muteki Koujin Daitarn 3,"['Muteki Koujin Daitarn 3', 'Invincible Steel Man Daitarn 3', 'Muteki Kojin Daitarn 3', '無敵鋼人ダイターン３']"
3325,The Brave Fighter Exkizer,"['The Brave Fighter Exkizer', 'Brave Exkaiser', '勇者エクスカイザー', 'Yuusha Exkaiser']"
3327,Giant Gorg,"['巨神ゴーグ〈ジャイアントゴーグ〉', 'Giant Gorg', 'Kyojin Gorg', 'Kyoshin Gorg']"
3332,Stop!! Hibari-kun!,"['Stop!! Hibari-kun!', 'ストップ！！ひばりくん！']"
3342,Rin: Daughters of Mnemosyne,"['Rin: Daughters of Mnemosyne', 'Mnemosyne: Mnemosyne no Musume-tachi', 'Mnemosyne: Daughters of Mnemosyne', 'Mnemosyne Rin: Las Hijas de Mnemosyne', 'Mnemosyne－ムネモシュネの娘たち－']"
3349,Kiddy Girl-AND,"['Kiddy Girl-AND', 'Kiddy Grade 2', 'キディ・ガーランド', 'Kiddy GiRL-AND']"
3355,Fortune Dogs,"['Fortune Dogs', 'ふぉうちゅんドッグす']"
3358,Kurenai,"['Kurenai', 'Crimson', 'Kure-nai', '紅']"
3359,Amatsuki,"['あまつき', 'Amatsuki']"
3361,UFO Senshi Dai Apolon,"['Shadow World', 'UFO Warrior Dai Apolon', 'ＵＦＯ戦士ダイアポロン', 'UFO Senshi Dai Apolon']"
3363,Real Drive,"['Real Drive', 'RD Sennou Chousashitsu', 'RD 潜脳調査室']"
3388,Majokko Megu-chan,"['Witch Girl Megu', '魔女っ子メグちゃん', 'Majokko Meg-chan', 'Majokko Megu-chan', 'Witch Girl Meg', 'Little Meg the Witch Girl']"
3389,Bus Gamer,"['Bus Gamer', 'BusGamer', 'BUS GAMER']"
3407,Blassreiter,"['BLASSREITER -genetic-', 'Blassreiter', 'ブラスレイター']"
3420,Shigofumi: Letters from the Departed,"['Shigofumi', 'シゴフミ', 'Shigofumi: Letters from the Departed', 'Shigofumi: Stories of Last Letter']"
3424,The Orphans of Simitra,"['Porufi no Nagai Tabi', ""Porfy's Long Journey"", 'Porphy no Nagai Tabi', 'ポルフィの長い旅', 'The Orphans of Simitra', 'The Long Journey of Porfyi']"
3455,To Love Ru,"['Toraburu', 'To LOVE-Ru', 'Love Trouble', 'To Love Ru', 'To LOVEる -とらぶる-', 'To LOVE Ru']"
3457,Vampire Knight,"['ヴァンパイア騎士〈ナイト〉', 'El Caballero Vampiro', 'Vampire Knight', 'Vampire Kishi']"
3464,Kemeko Deluxe!,"['ケメコデラックス！', 'Kemeko Deluxe!', 'Kemeko DX', 'The Unknown Girlfriend']"
3467,Haruka Nogizaka's Secret,"['Nogizaka Haruka no Himitsu', '乃木坂春香の秘密', ""Haruka Nogizaka's Secret""]"
3470,Special A (S.A),"['スペシャル・エー', 'Special A', 'S.A.', 'Special A (S.A)', 'Special A Class']"
3503,Kanokon: The Girl Who Cried Fox,"['かのこん', 'Kanokon', 'Kanokon: The Girl Who Cried Fox']"
3505,Brave Command Dagwon,"['Yuusha Shirei Dagwon', '勇者指令ダグオン', 'Brave Command Dagwon']"
3549,Allison & Lillia,"['アリソンとリリア', 'Allison and Lillia', 'Arison to Riria', 'Allison & Lillia', 'Allison to Lillia', 'Alison and Lilia']"
3572,Macross Frontier,"['マクロスF（フロンティア）', 'Macross F', 'Macross Frontier']"
3576,Dinosaur King,"['Dinosaur King', 'Kodai Ouja Kyouryuu King', 'Dinosaur King: The Adventure begins', 'Kodai Oja Kyoryu King D-Kids Adventure', '古代王者 恐竜キング Ｄキッズアドベンチャー', 'Ancient Ruler Dinosaur King']"
3588,Soul Eater,"['Soul Eater', 'ソウルイーター']"
3594,Tears to Tiara,"['Tears to Tiara', 'ティアーズ・トゥ・ティアラ']"
3613,Library Wars,"['Library Wars', 'Library Revolution', 'Toshokan Sensou', 'Toshokan Kakumei', 'Library Rebellion', 'Library War', '図書館戦争', 'Library Crisis']"
3615,Neo Angelique Abyss,"['ネオアンジェリーク Abyss', 'Neo Angelique Abyss']"
3616,Kamen no Maid Guy,"['仮面のメイドガイ', 'Kamen no Maid Guy']"
3638,Kaiketsu Zorori,"['Kaiketsu Zorori', 'Zorori - Le Magnifique', 'かいけつゾロリ']"
3653,Linebarrels of Iron,"['Kurogane no Linebarrels', '鉄のラインバレル', 'Linebarrels of Iron']"
3654,Magician's Academy,"['MA Project', 'まかでみWAっしょい！', ""The Magician's Academy"", 'Macademi Wasshoi!', ""Magician's Academy""]"
3655,Nabari no Ou,"['King of Nabari', 'Nabari no Ou', 'Nabari', '隠の王', 'Nabari no Oh']"
3656,Monochrome Factor,"['モノクローム･ファクター', 'Monochrome Factor']"
3660,Magical Idol Pastel Yumi,"['Magical Idol Pastel Yumi', '魔法のアイドル パステルユーミ', 'Mahou no Idol Pastel Yumi', 'Susy aux Fleurs Magiques']"
3667,Strike Witches,"['Strike Witches', 'ストライクウィッチーズ']"
3670,Genesis Climber Mospeada,"['Génesis Climber Mospeada', 'Genesis Climber Mospeada', 'Robotech: The New Generation', 'Kikou Souseiki Mospeada', 'Armored Genesis Mospeada', '機甲創世記モスピーダ']"
3701,Kaiba,"['Kaiba', 'カイバ']"
3731,ItaKiss,"['Teasing Kiss', 'Mischievous Kiss', 'Itazurana Kiss', 'イタズラなKiss', 'It Started With A Kiss', 'Naughty Kiss', 'Itazura na Kiss', 'ItaKiss']"
3736,Parappa the Rapper,"['Parappa the Rapper', 'PaRappa the Rapper', 'パラッパラッパー']"
3761,Dogtanian and the Three Muskehounds,"['Dogtanian and the Three Muskehounds', 'ワンワン三銃士', 'Wanwan Sanjuushi', 'Dogtanian and the Three Muskehound', ""D' Artacán y los tres Mosqueperros"", 'Dogtanian und die drei Musketiere']"
3809,The Legend of Snow White,"['Shirayuki-hime no Densetsu', 'Legend of Princess Snow White', 'La Légende de Blanche Neige', 'The Legend of Snow White', 'Shirayukihime', '白雪姫の伝説', 'Shirayuki Hime no Densetsu']"
3811,The Adventures of the Little Prince,"['星の王子さま\u3000プチ・プランス', 'Hoshi no Oujisama Petit Prince', 'Die großen Abenteuer vom kleinen Prinzen', 'Las Aventuras de El Principito', 'The Adventures of the Little Prince', 'The Little Prince', 'Le Petit Prince', 'Hoshi no Ojisama Petit Prince', 'The Prince of the Stars: Le Petit Prince']"
3835,Ai no Gakkou Cuore Monogatari,"['Ai no Gakkou Cuore Monogatari', '愛の学校 クオレ物語', ""School of Love: Heart's Story"", 'The Tale of Cuore']"
3840,Glass Maiden,"['Glass Maiden', 'Crystal Blaze', 'クリスタル ブレイズ']"
3841,Chi's Sweet Home,"['Chiizu', ""Chii's Sweet Home"", 'Chi une vie de chat', 'チーズスイートホーム', ""Chi's Sweet Home""]"
3858,The Adventures of Hutch the Honeybee,"['昆虫物語みなしごハッチ', 'Insect Story: Honey Bee Hutch', 'The Adventures of Hutch the Honeybee', 'Hutchi', 'Konchuu Monogatari Minashigo Hutch']"
3900,Golden Bat,"['Phantaman', 'Fantaman', 'Fantomas', 'Ougon Bat', '黄金バット', 'Ogon Bat', 'Golden Bat']"
3915,Time Fighters,"['タイムボカン', 'Time Bokan', 'Time Fighters', 'Time Fighters in the Land of Fantasy']"
3958,Kannagi: Crazy Shrine Maidens,"['かんなぎ', 'Kannagi', 'Kannagi: Crazy Shrine Maidens']"
3972,Yu-Gi-Oh! 5D's,"[""Yu☆Gi☆Oh! 5D's"", ""Yu-Gi-Oh! 5D's"", ""Yugioh 5 D's"", 'Yuu Gi Ou: Duel Monsters 5DS', ""遊☆戯☆王5D's（ファイブディーズ）""]"
3974,Birdy the Mighty: Decode,"['鉄腕バーディー (2008)', 'Tetsuwan Birdy Decode', 'Tetsuwan Birdy (2008)', 'Birdy the Mighty TV', 'Birdy the Mighty: Decode']"
4021,Antique Bakery,"['Seiyou Kottou Yougashiten: Antique', 'Antique Bakery', '西洋骨董洋菓子店 ~アンティーク~']"
4038,Psychic Squad,"['Absolutely Lovely Children', 'ZKC', 'Psychic Squad', '絶対可憐チルドレン', 'Zettai Karen Children']"
4039,Golgo 13,"['Golgo 13 (TV)', 'ゴルゴ13', 'Golgo 13']"
4063,Sekirei,"['Sekirei', 'Wagtail', 'セキレイ']"
4066,Tytania,"['タイタニア', 'Titania', 'Tytania', 'Taitania']"
4081,Natsume's Book of Friends,"['Natsume Yujincho', ""Natsume's Book of Friends"", '夏目友人帳', 'Natsume Yuujinchou', 'Natsume Yujin-cho']"
4087,Michiko & Hatchin,"['Michiko to Hacchin', 'Michiko to Hatchin', 'Michiko & Hatchin', 'Michiko e Hatchin', 'ミチコとハッチン']"
4151,Blade of the Immortal,"['Mugen no Juunin', '無限の住人', 'Blade of the Immortal']"
4186,Chrome Shelled Regios,"['Koukaku no Regios', 'Chrome Shelled Regios', 'Kokaku no Regios', '鋼殻のレギオス']"
4191,Popolocrois Monogatari,"['Popolocrois Monogatari', 'ポポロクロイス物語']"
4199,Entaku no Kishi Monogatari: Moero Arthur,"['Entaku no Kishi Monogatari: Moero Arthur', 'King Arthur', '円卓の騎士物語\u3000燃えろアーサー', 'Prinz Arthus', 'King Arthur and the Knights of the Round Table']"
4208,The New Adventures of Gigantor,"['New Tetsujin 28-go', '鉄人２８号 (1980)', 'Tetsujin 28-go TV 2', 'Tetsujin 28: Follower of the Sun', 'Tetsujin 28-gou (1980)', 'The New Adventures of Gigantor', 'New Iron Man No.28', 'Tetsujin 28-go (1980)', 'New Gigantor']"
4214,Rosario + Vampire Capu2,"['Rosario + Vampire Season 2', 'Rosario + Vampire Capu2', 'Rosario and Vampire Capu2', 'ロザリオとバンパイア Capu2', 'Rosario to Vampire Capu2']"
4224,Toradora!,"['とらドラ！', 'Tiger X Dragon', 'Toradora!']"
4262,Koihime†Musou,"['Koihime Musou', '恋姫†無双', 'Koihime†Musou']"
4334,Heroman,"['ヒーローマン', 'Heroman']"
4339,Attack on Tomorrow,"['Ashita e Attack!', 'Smash', 'あしたへアタック！', 'Attack on Tomorrow']"
4362,Fireball,"['Fireball', 'ファイアボール']"
4415,Sands of Destruction,"['Sands of Destruction', 'ワールド・デストラクション ～世界撲滅の六人～', 'World Destruction: Sekai Bokumetsu no Rokunin']"
4439,Judo Boy,"['Judo Boy', 'Kurenai Sanshirou', '紅三四郎']"
4532,Brave of the Sun Fighbird,"['太陽の勇者ファイバード', 'Firebird', 'The Brave Fighter of Sun Fighbird', 'Burning Brave Hero Firebird', 'Brave Hero of the Sun', 'Brave of the Sun Fighbird', 'Sun Guard', 'Sun Brave Fyvard', 'Taiyou no Yuusha Fighbird']"
4548,Yozakura Quartet,"['Yozakura Quartet', 'Yozakura Shijuusou', 'Quartet of Cherry Blossoms in the Night', '夜桜四重奏 ～ヨザクラカルテット～']"
4549,Legends of the Dark King: A Fist of the North Star Story,"['Legends of the Dark King: A First of the North Star Story', 'Ten no Haou: Hokuto no Ken Raou Gaiden', 'Legends of the Dark King: A Fist of the North Star Story', 'Hokuto no Ken: Raoh Gaiden Ten no Haoh', '北斗の拳 ラオウ外伝 天の覇王']"
4550,Hyakko,"['Hyakko', 'ヒャッコ']"
4551,Earl and Fairy,"['Hakushaku to Yousei', 'Earl and Fairy', 'Count and Fairy', 'Hakushaku to Yosei', '伯爵と妖精']"
4581,Corpse Princess: Aka,"['Corpse Princess: Aka', 'Shikabane Hime: Aka', 'Shikabane Hime Aka', '屍姫 赫']"
4618,Ride Back,"['Ride Back', 'RideBack', 'ライドバック']"
4654,A Certain Magical Index,"['Toaru Majutsu no Index', 'とある魔術の禁書目録', 'A Certain Magical Index', 'Toaru Majutsu no Kinsho Mokuroku']"
4657,Arad Senki: Slap Up Party,"['Dungeon & Fighter - Arad Senki', 'Arad Senki: Slap Up Party', 'Dungeon & Fighter - The Animation', 'アラド戦記 ～スラップアップパーティー～', 'Slap Up Party Arad Senki']"
4662,Neo Angelique Abyss: Second Age,"['ネオアンジェリーク Abyss -Second Age-', 'Neo Angelique Abyss: Second Age']"
4690,Cyborg 009,"['Cyborg 009 (1979)', 'Cyborg 009', 'Cyborg 009 (TV 2)', 'Raumstation Cyborg 009', 'サイボーグ009']"
4719,Queen's Blade: The Exiled Virgin,"[""Queen's Blade"", 'クイーンズブレイド 流浪の戦士', ""Queen's Blade: Rurou no Senshi"", 'Sentou Kyoukain Alain', ""Queen's Blade: The Exiled Virgin""]"
4720,White Album,"['W.A.', 'ホワイトアルバム', 'White Album']"
4722,Skip Beat!,"['Skip Beat!', 'スキップ・ビート！']"
4725,Ga-Rei-Zero,"['Ga-Rei-Zero', '喰霊–零–', 'Garei: Zero', 'Ga-Rei: Zero']"
4744,The Hill Dyed Rose Madder,"['あかね色に染まる坂', 'Akaneiro ni Somaru Saka', 'Akasaka', 'The Hill Dyed Rose Madder', 'Akane-Iro ni Somaru Saka']"
4752,Vampire Knight Guilty,"['Vampire Knight 2', 'El Caballero Vampiro Temporada 2', 'ヴァンパイア騎士〈ナイト〉Guilty', 'Vampire Kishi 2', 'Vampire Knight Guilty', 'Vampire Kishi Guilty']"
4808,Hurricane Polymar,"['Hurricane Polymer', '破裏拳ポリマー', 'Hurricane Polimar', 'Hurricane Polymar', 'Inner Destructive Fist Polymar']"
4810,Neo Human Casshan,"['Neo Human Casshan', '新造人間キャシャーン', 'Shinzou Ningen Casshern']"
4823,Humanoid Monster Bem,"['Yokai Ningen Bem', 'Humanoid Monster Bem', 'Humanoid Monster Bem (TV 2)', 'Youkai Ningen Bemu', '妖怪人間ベム', 'Youkai Ningen Bem (2006)']"
4853,Tezuka Osamu no Don Dracula,"['Tezuka Osamu no Don Dracula', '手塚治虫のドン・ドラキュラ', 'Don Drácula', 'Don Dracula']"
4879,Box of Goblins,"['Mouryou no Hako', 'Moryo no Hako', 'Box of Goblins', '魍魎の匣']"
4884,Tales of the Abyss,"['テイルズ オブ ジ アビス', 'Tales of the Abyss']"
4896,Umineko: When They Cry,"['When the Seagulls Cry', 'うみねこのなく頃に', 'When They Cry: Seagulls', 'Umineko: When They Cry', 'When They Cry 3', 'Umineko no Naku Koro ni']"
4898,Black Butler,"['Kuroshitsuji', 'El Mayordomo Oscuro', 'Black Butler', '黒執事', 'Kuroshitsuzi', 'Kuro Shitsuji']"
4908,Bihada Ichizoku,"['Pure Love Cosmetic Comic: Bihada Family', 'Junai Cosmetic Comic: Bihada Ichizoku', 'Bihada Ichizoku', '美肌一族']"
4975,ChäoS;HEAd,"['カオスヘッド', 'ChaoS,HEAd', 'ChäoS;HEAd']"
4981,Casshern Sins,"['キャシャーン SINS', 'Casshern Sins']"
4999,Samurai Harem,"['明日のよいち！', 'Samurai Harem', 'High School Samurai', 'Ashita no Yoichi!', 'Asu no Yoichi!']"
5027,Stitch!,"['Stitch!', 'スティッチ！', 'Yuna & Stitch']"
5030,Maria†Holic,"['まりあ†ほりっく', 'Maria+Holic', 'Maria†Holic', 'MariaHolic']"
5032,Cobra The Animation,"['Cobra The Animation: Rokunin no Yuushi', 'Cobra The Animation', 'COBRA THE ANIMATION']"
5039,Kurozuka,"['Kurozuka', '黒塚', 'Black Tomb']"
5040,One Outs,"['ONE OUTS Nobody wins', 'but I!', 'One Outs', 'ワンナウツ']"
5041,Guin Saga,"['グイン・サーガ', 'Guin Saga']"
5075,Brave Police J-Decker,"['勇者警察ジェイデッカー', 'Yuusha Keisatsu J-Decker', 'Brave Police J-Decker']"
5079,Kurokami The Animation,"['Kuro Kami', '黒神 The Animation', 'Dark God', 'Kurokami The Animation', 'Kurogami', 'Kurokami']"
5081,Bakemonogatari,"['Ghostory', 'Monstory', 'Bakemonogatari', '化物語']"
5112,Akikan!,"['Akikan!', 'アキカン!', 'Empty Can!']"
5114,Fullmetal Alchemist: Brotherhood,"['Fullmetal Alchemist: Brotherhood', 'FMAB', '鋼の錬金術師 FULLMETAL ALCHEMIST', 'Fullmetal Alchemist Brotherhood', 'Hagane no Renkinjutsushi: Fullmetal Alchemist', 'Fullmetal Alchemist (2009)', 'FMA']"
5141,Taisho Baseball Girls,"['Taisho Baseball Girls', 'Taishou Era Baseball Girls', 'Taishou Yakyuu Musume.', '大正野球娘。', 'Taishou Era Baseball Daughters']"
5150,Hatsukoi Limited,"['Hatsukoi Limited', 'Hatsukoi Gentei.', 'Hatsukoi Limited.', '初恋限定。']"
5220,Shangri-La,"['シャングリ・ラ', 'Shangri-La']"
5226,Beyond the Heavens,"['Beyond the Heavens', 'Soten Koro', '蒼天航路', 'Souten Kouro']"
5231,Inazuma Eleven,"['イナズマイレブン', 'Inazuma Eleven']"
5267,Adventure of Gamba,"[""Gamba's Adventure"", 'Gamba no Bouken', 'Adventure of Gamba', 'Las Aventuras de Gamba', 'ガンバの冒険', 'Ganba no Bouken', 'The Adventures of Ganba']"
5292,Getter Robo Go,"['ゲッターロボ號', 'Getter Robo Go', 'Getter Robo Gou']"
5307,The Girl Who Leapt Through Space,"['Sora o Kakeru Shoujo', 'Sora wo Kakeru Shoujo', 'The Girl Who Leapt Through Space', ""La Traversée de l'Espace"", '宇宙をかける少女', 'Sora Kake Girl']"
5342,Asura Cryin',"[""Asura Cryin'"", 'アスラクライン', 'Asura Kurain']"
5355,Sengoku Basara: Samurai Kings,"['Sengoku Basara: Samurai Kings', 'Sengoku Basara Samurai Kings', '戦国BASARA', 'Sengoku Basara']"
5356,Canaan,"['428 the animation', '428: Fuusasareta Shibuya de Special Chapter', '428: Fuusa Sareta Shibuya de Tokubetsu-hen', 'Canaan: Tueuses Nées', 'CANAAN', 'Canaan']"
5395,Nekketsu Saikyou Go-Saurer,"['Nekketsu Saikyou Gosaurer', 'Hot-Blooded Strongest Go-Saurer', 'Matchless Passion Gozaurer', 'Eldran series #3', '熱血最強ゴウザウラー', 'Nekketsu Saikyou Go-Saurer']"
5420,The Beast Player Erin,"['Kemono no Sou-ja Erin', 'Erin', 'Kemono no Soujya Erin', 'The Beast Player Erin', '獣の奏者エリン', 'Kemono no Souja Erin']"
5454,Modern Magic Made Simple,"['Properly Learned Modern Magic', 'Modern Magic for Dummies', 'よくわかる現代魔法', 'Yoku Wakaru Gendai Maho', 'Modern Magic Made Simple', 'Manageable Modern Magic,', 'Yoku Wakaru Gendai Mahou']"
5478,Bikkuriman 2000,"['ビックリマン2000', 'Bikkuriman 2000']"
5494,Before Green Gables,"['Before Green Gables', 'Konnichiwa Anne: Before Green Gables', 'こんにちは アン ～Before Green Gables', 'Akage no Anne Prequel', 'Anne of Green Gables Prequel']"
5505,Viper's Creed,"['ヴァイパーズ・クリード', ""Viper's Creed""]"
5507,Valkyria Chronicles,"['Battlefield Valkyria: Gallian Chronicles', '戦場のヴァルキュリア', 'Senjou no Valkyria', 'Valkyria Chronicles']"
5525,07-Ghost,"['07-Ghost', '07 Ghost', '7 Ghosts', 'セブンゴースト', 'Seven Ghost', 'The Seven Ghosts']"
5530,Pandora Hearts,"['パンドラハーツ', 'Pandora Hearts']"
5597,Summer Storm!,"['Natsu no Arashi!', 'Natsu no Arashi', '夏のあらし！', 'Summer Storm!']"
5630,Eden of The East,"['Higashi no Eden', 'Eden of The East', '東のエデン', 'Eden of the East']"
5671,Saki,"['Saki', '咲-Saki-']"
5675,Basquash!,"['バスカッシュ！', 'Basquash!']"
5678,Kobato.,"['こばと。', 'Kobato.']"
5680,K-ON!,"['けいおん!', 'K-On!', 'K-ON! Season 1', 'Keion', 'K-ON!']"
5682,Phantom: Requiem for the Phantom,"['Phantom: Requiem for the Phantom', 'Phantom 〜Requiem for the Phantom〜']"
5684,Fresh Precure!,"['Fresh Pretty Cure!', 'Fresh Precure!', 'フレッシュプリキュア！']"
5702,Sora wo Miageru Shoujo no Hitomi ni Utsuru Sekai,"['空を見上げる少女の瞳に映る世界', 'Sora wo Miageru Shoujo no Hitomi ni Utsuru Sekai', 'Munto TV']"
5734,Tayutama: Kiss on My Deity,"['Tayutama: Kiss on My Deity', 'タユタマ -Kiss on my Deity-', 'Tayutama']"
